dataset,model,use_coord,relative_l2_mean,relative_l2_std,initial_sensitivity_error,shift_equivariance_error,boundary_error,parameter_count,train_time_seconds
periodic_heat,fno,false,0.008854798,0.0041654347,0.0010467276,1.3023332e-7,,34945,
periodic_heat,fno,true,0.008023277,0.003057663,0.0014051135,0.019998692,,34977,
periodic_heat,deeponet,false,0.47170028,0.11604536,0.23423189,0.7168887,,140672,
dirichlet_heat,fno,false,0.015080846,0.006043024,0.0018072298,,0.09848743,34945,
dirichlet_heat,fno,true,0.0071053416,0.0020260613,0.0013873632,,0.041902248,34977,
dirichlet_heat,deeponet,false,0.22306643,0.078802206,0.09308628,,0.12635872,140672,
periodic_poisson,fno,false,0.044436317,0.027342774,,2.869791e-6,,34945,
periodic_poisson,fno,true,0.1013403,0.05421398,,0.18790495,,34977,
periodic_poisson,deeponet,false,2.0750697,1.1666101,,2.59923,,140672,
variable_poisson,fno,false,0.53301376,0.090160936,,,0.28381565,34945,
variable_poisson,fno,true,0.34527925,0.12192119,,,0.09018523,34977,
variable_poisson,deeponet,false,0.5956842,0.5133567,,,0.15707642,140672,
